resultId,raceId,teamId,driverId,grid,positionText,points,year,round
646,11,9,11,8,7,6,2024,11
647,11,6,20,12,8,4,2024,11
648,11,12,3,11,9,2,2024,11
649,11,3,10,13,10,1,2024,11
650,11,5,16,6,11,0,2024,11
651,11,3,31,10,12,0,2024,11
652,11,4,18,17,13,0,2024,11
653,11,12,22,14,14,0,2024,11
654,11,10,23,16,15,0,2024,11
655,11,11,77,18,16,0,2024,11
656,11,11,24,PL,17,0,2024,11
657,11,4,14,15,18,0,2024,11
658,11,10,2,19,19,0,2024,11
659,11,7,4,2,20,0,2024,11
660,12,8,44,2,1,25,2024,12
661,12,9,1,4,2,18,2024,12
662,12,7,4,3,3,15,2024,12
663,12,7,81,5,4,12,2024,12
664,12,5,55,7,5,11,2024,12
665,12,6,27,6,6,8,2024,12
666,12,4,18,8,7,6,2024,12
667,12,4,14,10,8,4,2024,12
668,12,10,23,9,9,2,2024,12
669,12,12,22,13,10,1,2024,12
670,12,10,2,12,11,0,2024,12
671,12,6,20,17,12,0,2024,12
672,12,12,3,15,13,0,2024,12
673,12,5,16,11,14,0,2024,12
674,12,11,77,16,15,0,2024,12
675,12,3,31,18,16,0,2024,12
676,12,9,11,PL,17,0,2024,12
677,12,11,24,14,18,0,2024,12
678,12,8,63,1,Ret,0,2024,12
679,12,3,10,19,DNS,0,2024,12
680,13,7,81,2,1,25,2024,13
681,13,7,4,1,2,18,2024,13
682,13,8,44,5,3,15,2024,13
683,13,5,16,6,4,12,2024,13
684,13,9,1,3,5,10,2024,13
685,13,5,55,4,6,8,2024,13
686,13,9,11,16,7,6,2024,13
687,13,8,63,17,8,5,2024,13
688,13,12,22,10,9,2,2024,13
689,13,4,18,8,10,1,2024,13
690,13,4,14,7,11,0,2024,13
691,13,12,3,9,12,0,2024,13
692,13,6,27,11,13,0,2024,13
693,13,10,23,13,14,0,2024,13
694,13,6,20,15,15,0,2024,13
695,13,11,77,12,16,0,2024,13
696,13,10,2,14,17,0,2024,13
697,13,3,31,19,18,0,2024,13
698,13,11,24,18,19,0,2024,13
699,13,3,10,PL,Ret,0,2024,13
700,14,8,44,3,1,25,2024,14
701,14,7,81,5,2,18,2024,14
702,14,5,16,1,3,15,2024,14
703,14,9,1,11,4,12,2024,14
704,14,7,4,4,5,10,2024,14
705,14,5,55,7,6,8,2024,14
706,14,9,11,2,7,7,2024,14
707,14,4,14,8,8,4,2024,14
708,14,3,31,9,9,2,2024,14
709,14,12,3,13,10,1,2024,14
710,14,4,18,15,11,0,2024,14
711,14,10,23,10,12,0,2024,14
712,14,3,10,12,13,0,2024,14
713,14,6,20,17,14,0,2024,14
714,14,11,77,14,15,0,2024,14
715,14,11,24,20,16,0,2024,14
716,14,12,22,18,17,0,2024,14
717,14,6,27,16,18,0,2024,14
718,14,8,63,6,DSQ,0,2024,14
719,14,10,2,19,Ret,0,2024,14
